2.300000000000000000e+01,9.700000000000000000e+01
2.600000000000000000e+01,6.200000000000000000e+01
2.900000000000000000e+01,1.300000000000000000e+02
7.800000000000000000e+01,9.600000000000000000e+01
2.300000000000000000e+01,1.070000000000000000e+02
4.000000000000000000e+01,4.000000000000000000e+00
5.100000000000000000e+01,5.500000000000000000e+01
5.900000000000000000e+01,1.940000000000000000e+02
3.200000000000000000e+01,1.290000000000000000e+02
7.200000000000000000e+01,1.310000000000000000e+02
2.600000000000000000e+01,1.570000000000000000e+02
4.700000000000000000e+01,1.300000000000000000e+02
3.300000000000000000e+01,9.200000000000000000e+01
9.800000000000000000e+01,1.700000000000000000e+02
9.800000000000000000e+01,1.290000000000000000e+02
